"Total Parent 
Response Rate %",Total Teacher Response Rate %,Total Student Response Rate %,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,DBN,School Name
81.0,97.0,92.0,3.11,3.32,2.4,4.34,3.67,03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS
43.0,93.0,74.0,3.97,3.44,3.58,3.31,3.25,03M403,THE GLOBAL LEARNING COLLABORATIVE
49.0,90.0,90.0,4.25,3.98,3.41,3.68,3.67,03M404,INNOVATION DIPLOMA PLUS
58.0,93.0,86.94223233851405,3.95,3.32,3.88,4.4,3.78,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS
33.0,36.0,85.0,3.11,2.96,3.74,2.85,2.5,03M417,FRANK MCCOURT HIGH SCHOOL
21.0,63.0,91.0,3.28,3.39,4.5,2.45,1.46,03M421,WEST PREP ACADEMY
56.0,88.0,85.0,4.2,3.44,3.93,3.09,3.49,03M452,P.S. 452
22.0,81.0,82.0,2.05,2.14,1.55,2.45,2.8,03M479,BEACON HIGH SCHOOL
13.0,97.0,38.0,3.16,3.25,2.86,3.51,3.63,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS
68.0,96.0,90.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.63,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE"
65.0,70.0,94.0,4.62,3.99,4.85,3.83,4.02,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY
34.0,59.0,69.0,2.7,2.76,2.79,3.66,3.19,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL
67.0,96.0,97.0,4.28,4.43,4.15,4.03,3.62,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL
46.0,67.0,88.0,2.77,1.83,3.46,2.48,2.53,03M859,SPECIAL MUSIC SCHOOL
64.0,87.0,95.0,3.58,3.58,4.66,3.3,2.54,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL
67.0,91.0,88.9245286244522,4.7,4.5,4.33,4.15,4.36,03M862,MOTT HALL II
100.0,100.0,102.82764031245136,3.55,3.8,3.39,3.59,3.36,04M007,P.S. 007 SAMUEL STERN
52.0,84.0,96.0,2.39,2.7,2.92,2.99,2.46,04M012,TAG YOUNG SCHOLARS
17.0,70.0,88.0,3.62,2.14,3.69,3.21,3.01,04M037,RIVER EAST ELEMENTARY
58.0,94.0,84.87930190761283,4.28,3.92,3.66,4.4,4.3,04M038,P.S. 38 ROBERTO CLEMENTE
57.0,88.0,94.0,2.85,3.34,3.4,3.16,3.4,04M057,JAMES WELDON JOHNSON
36.0,83.0,81.94755198045776,2.31,2.5,1.8,2.82,1.45,04M072,THE LEXINGTON ACADEMY
52.0,100.0,98.0,3.73,3.42,2.83,3.93,4.1,04M083,P.S. 083 LUIS MUNOZ RIVERA
65.0,94.0,89.74703381727244,4.19,3.6,4.25,4.4,3.91,04M096,P.S. 096 JOSEPH LANZETTA
31.0,75.0,72.13374395603422,3.36,3.46,2.64,4.44,4.38,04M102,P.S. 102 JACQUES CARTIER
80.0,93.0,97.62454824998791,2.58,2.89,3.09,2.99,2.62,04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX
100.0,54.0,97.0,4.44,4.02,4.82,4.4,4.06,04M112,P.S. 112 JOSE CELSO BARBOSA
80.0,85.0,92.98412264517424,3.92,3.74,3.33,3.93,3.87,04M146,P.S. 146 ANN M. SHORT
86.0,96.0,99.0,3.38,3.38,3.31,3.76,3.68,04M155,P.S. 155 WILLIAM PACA
59.0,94.0,95.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.27,04M171,P.S. 171 PATRICK HENRY
50.0,88.0,86.0,3.46,3.55,3.51,3.22,3.49,04M182,THE BILINGUAL BICULTURAL SCHOOL
63.0,80.0,91.03011464609166,3.29,3.73,3.48,3.81,2.35,04M206,P.S. 206 JOSE CELSO BARBOSA
96.0,82.0,90.0,4.38,3.86,3.64,3.87,3.77,04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS
58.0,100.0,92.0,4.54,3.97,4.07,3.92,3.92,04M372,ESPERANZA PREPARATORY ACADEMY
49.0,50.0,80.20139136323635,2.05,2.48,2.29,3.96,3.21,04M375,MOSAIC PREPARATORY ACADEMY
32.0,100.0,92.0,4.77,4.54,4.82,4.05,4.33,04M377,RENAISSANCE SCHOOL OF THE ARTS
48.0,100.0,78.0,4.76,4.32,4.46,3.51,4.23,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS
75.0,100.0,95.0,3.88,3.92,2.64,2.81,3.39,04M495,PARK EAST HIGH SCHOOL
48.0,100.0,68.0,2.81,3.29,2.53,3.6,3.68,04M497,CENTRAL PARK EAST I
48.0,74.0,77.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.36,04M555,CENTRAL PARK EAST HIGH SCHOOL
82.0,100.0,94.6076916811783,3.82,3.67,3.4,4.01,3.97,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL
36.0,65.0,78.63503138811292,2.96,2.62,3.0,4.1,2.82,04M680,"HERITAGE SCHOOL, THE"
65.0,72.0,90.0,3.01,2.9,2.78,4.01,3.52,04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE
97.0,82.0,101.0106026207793,3.98,3.37,3.51,3.72,3.26,04M964,CENTRAL PARK EAST II
100.0,69.0,97.0,3.08,3.54,2.77,3.84,3.46,05M030,P.S. 030 HERNANDEZ/HUGHES
